Reaction,Annotation
rxn33818,  Amino acid metabolism
rxn00728,  Amino acid metabolism
rxn16842,
rxn32347,  Amino acid metabolism
rxn31443,  Lipid metabolism
rxn05894,  Energy metabolism
rxn28243,  Energy metabolism
rxn03597,  Xenobiotics biodegradation and metabolism
rxn30418,
rxn08040,
rxn30364,  Carbohydrate metabolism
rxn16611,  Glycan biosynthesis and metabolism
rxn08240,
rxn16062,  Metabolism of terpenoids and polyketides
rxn12854,
rxn07485,  Xenobiotics biodegradation and metabolism
rxn43082,
rxn06929,  Metabolism of terpenoids and polyketides
rxn40505,
rxn14028,
EXpd00082,
rxn30733,  Carbohydrate metabolism
EXpd00186,
EXpd00311,
rxn08608,  Carbohydrate metabolism
rxn16143,  Energy metabolism
rxn16699,  Metabolism of terpenoids and polyketides
rxn44504,
EXpd00246,
rxn05676,
rxn12442,  Carbohydrate metabolism
rxn19643,  Nucleotide metabolism
rxn31919,  Carbohydrate metabolism
rxn30590,  Amino acid metabolism
rxn07463,  Metabolism of terpenoids and polyketides
rxn24829,  Metabolism of cofactors and vitamins
rxn08086,
rxn01948,  Amino acid metabolism
rxn11682,  Lipid metabolism
rxn33231,  Carbohydrate metabolism
rxn00452,  Amino acid metabolism
rxn39963,
rxn19260,  Amino acid metabolism
rxn11808,  Xenobiotics biodegradation and metabolism
rxn16398,
rxn19955,  Metabolism of terpenoids and polyketides
rxn32483,  Carbohydrate metabolism
rxn27692,
rxn03615,  Biosynthesis of other secondary metabolites
rxn06105,  Nucleotide metabolism
rxn36686,  Lipid metabolism
rxn15063,
