Reaction,Annotation
rxn00728, Amino acid metabolism
rxn00143, Amino acid metabolism
rxn00117, Nucleotide metabolism
rxn15748, Amino acid metabolism
rxn06077, Amino acid metabolism
rxn01605, Carbohydrate metabolism
rxn09113, Metabolism of cofactors and vitamins
rxn43619,
rxn36076,
rxn03301, Lipid metabolism
rxn11590,
rxn04360, Metabolism of terpenoids and polyketides
rxn16235, Energy metabolism
rxn03821, Metabolism of terpenoids and polyketides
rxn01164, Lipid metabolism
rxn07681, Lipid metabolism
rxn02828, Biosynthesis of other secondary metabolites
rxn14126, Metabolism of terpenoids and polyketides
EXpd15560,
rxn08324,
rxn11663,
rxn33042, Carbohydrate metabolism
rxn01974, Amino acid metabolism
rxn27887,
rxn32466, Biosynthesis of other secondary metabolites
rxn02196, Biosynthesis of other secondary metabolites
rxn02270,
rxn00654, Nucleotide metabolism
rxn16579, Metabolism of terpenoids and polyketides
rxn32956, Xenobiotics biodegradation and metabolites
rxn17765, Amino acid metabolism
rxn28180, Amino acid metabolism
rxn27688, Nucleotide metabolism
rxn31059, Nucleotide metabolism
rxn02045, Amino acid metabolism
rxn14109, Amino acid metabolism
rxn31901, Amino acid metabolism
rxn34736, Lipid metabolism
rxn33066, Carbohydrate metabolism
rxn12510, Metabolism of cofactors and vitamins
rxn15274, Metabolism of other amino acids
rxn01895, Amino acid metabolism
rxn33099, Xenobiotics biodegradation and metabolites
rxn15827, Metabolism of other amino acids
rxn30355, Amino acid metabolism
rxn31104, Metabolism of cofactors and vitamins
R03018, Metabolism of cofactors and vitamins
EXpd00065,
rxn38888, Amino acid metabolism
rxn16257, Xenobiotics biodegradation and metabolites
rxn16698, Metabolism of terpenoids and polyketides
rxn08688, Metabolism of cofactors and vitamins
rxn30380, Metabolism of cofactors and vitamins
rxn03919, Glycan biosynthesis and metabolism
rxn00072, Metabolism of cofactors and vitamins
rxn00285, Carbohydrate metabolism
rxn03380,
rxn37661, Metabolism of cofactors and vitamins
rxn33129, Metabolism of cofactors and vitamins
rxn03264,
rxn24354, Amino acid metabolism
rxn18964, Carbohydrate metabolism
rxn04356, Metabolism of terpenoids and polyketides
rxn01172, Metabolism of other amino acids
rxn38689, Metabolism of cofactors and vitamins
rxn01953, Carbohydrate metabolism
rxn25492, Amino acid metabolism
rxn04550, Metabolism of terpenoids and polyketides
rxn29006,
rxn31982, Amino acid metabolism
rxn03705, Xenobiotics biodegradation and metabolites
rxn33079, Carbohydrate metabolism
rxn38535, Amino acid metabolism
rxn01135, Carbohydrate metabolism
rxn16157, Metabolism of terpenoids and polyketides
rxn26511,
rxn07879,
rxn32516, Amino acid metabolism
rxn35958,
rxn07360, Metabolism of terpenoids and polyketides
rxn05625,
rxn38240, Nucleotide metabolism
rxn01962, Nucleotide metabolism
rxn02428, Metabolism of cofactors and vitamins
rxn46214,
rxn09934, Xenobiotics biodegradation and metabolites
rxn30708, Metabolism of cofactors and vitamins
rxn08478,
rxn05887,
rxn34770, Carbohydrate metabolism
rxn34718, Lipid metabolism
EXpd15499,
rxn03884, Carbohydrate metabolism
rxn04346, Metabolism of terpenoids and polyketides
rxn07177, Xenobiotics biodegradation and metabolites
rxn01520, Nucleotide metabolism
rxn11744,
rxn30141, Carbohydrate metabolism
rxn15546, Lipid metabolism
rxn00036, Amino acid metabolism
rxn02332, Carbohydrate metabolism
rxn38489, Lipid metabolism
rxn32610, Metabolism of cofactors and vitamins
rxn01981, Metabolism of other amino acids
rxn03743, Xenobiotics biodegradation and metabolites
rxn42058,
rxn38356,
rxn06403, Carbohydrate metabolism
rxn01343,
rxn05513,
rxn07760, Biosynthesis of other secondary metabolites
