,Component 1,Component 2,Label,Classification
191,-693.9738572546253,2410.7502270929003,1596.253.sbml.csv,Vaginal Probiotic
192,-356.94758396840075,2511.868975611027,1596.253.sbml.csv,Vaginal Probiotic
193,-1552.5746018234008,1657.3765260847488,1596.253.sbml.csv,Vaginal Probiotic
194,673.8134338393911,3446.989633544559,1596.253.sbml.csv,Vaginal Probiotic
195,-415.6409483950388,2373.7478581691607,1596.253.sbml.csv,Vaginal Probiotic
196,286.84916620581566,1335.590368931573,1596.253.sbml.csv,Vaginal Probiotic
197,-976.7268963409592,2303.776540312851,1596.253.sbml.csv,Vaginal Probiotic
198,-434.16512985938687,3425.7840550442547,1596.253.sbml.csv,Vaginal Probiotic
199,-55.31563152036469,3198.7647988239173,1596.253.sbml.csv,Vaginal Probiotic
200,-2354.373593756872,1425.3948098839835,1596.253.sbml.csv,Vaginal Probiotic
201,-1574.407814534597,2843.875158747679,1596.253.sbml.csv,Vaginal Probiotic
202,242.1755758525597,3002.345970445407,1596.253.sbml.csv,Vaginal Probiotic
203,-1005.1212699430628,3563.3333424200123,1596.253.sbml.csv,Vaginal Probiotic
204,1024.7713498508315,1444.5714574575265,1596.253.sbml.csv,Vaginal Probiotic
205,792.8081561944666,1488.3950392850782,1596.253.sbml.csv,Vaginal Probiotic
206,-1188.3479111080965,2025.4358137557103,1596.253.sbml.csv,Vaginal Probiotic
207,-318.9185446692953,1614.6969258426664,1596.253.sbml.csv,Vaginal Probiotic
208,-2445.7429220670333,2690.2981239534843,1596.253.sbml.csv,Vaginal Probiotic
209,-2228.4185545154633,2492.0334177196305,1596.253.sbml.csv,Vaginal Probiotic
210,-3065.5974073420193,2830.165166066513,1596.253.sbml.csv,Vaginal Probiotic
211,-702.1969962910011,2248.4359948306624,1596.253.sbml.csv,Vaginal Probiotic
212,-1661.8680305562452,2968.4778154980545,1596.253.sbml.csv,Vaginal Probiotic
213,-2381.6687009792,2544.665642803773,1596.253.sbml.csv,Vaginal Probiotic
214,-1284.4414217597543,3551.353949912817,1596.253.sbml.csv,Vaginal Probiotic
215,-2620.9922934068104,3184.736153161681,1596.253.sbml.csv,Vaginal Probiotic
216,-1840.0106982042662,1359.589122998689,1596.253.sbml.csv,Vaginal Probiotic
217,-1050.4776028123981,2977.211061479558,1596.253.sbml.csv,Vaginal Probiotic
218,-544.7504616667514,3923.294549123974,1596.253.sbml.csv,Vaginal Probiotic
219,-753.4131912714129,2210.6556335174073,1596.253.sbml.csv,Vaginal Probiotic
220,-156.93996258673633,2038.9261194318863,1596.253.sbml.csv,Vaginal Probiotic
221,83.47671427065485,2862.1907436566244,1596.253.sbml.csv,Vaginal Probiotic
222,-749.992464920588,2503.795642334697,1596.253.sbml.csv,Vaginal Probiotic
223,-1668.370005218045,2335.773901389357,1596.253.sbml.csv,Vaginal Probiotic
224,367.43382801066775,2305.8546176434224,1596.253.sbml.csv,Vaginal Probiotic
