Reaction,Annotation
rxn39005,Secondary metabolites
EXpd03718,
EXpd00025,
rxn04479,Terpenoids and polyketides
EXpd00343,
rxn46750,
rxn07341,Terpenoids and polyketides
rxn11004,Amino acid
rxn39247,
rxn14202,
rxn08016,
rxn33147,
rxn16128,Terpenoids and polyketides
rxn19806,Carbohydrate
rxn08682,Cofactors and vitamins
rxn00113,Amino acid
rxn32794,Amino acid
rxn10434,
rxn00234,Carbohydrate
rxn34509,
rxn09422,Lipid
EXpd15269,
rxn03734,Xenobiotics
rxn38906,Amino acid
rxn10074,Energy
rxn05948,
rxn39962,
rxn26470,Terpenoids and polyketides
rxn37672,Lipid
rxn14007,Lipid
rxn13519,
rxn24213,
rxn40324,Terpenoids and polyketides
rxn04592,Secondary metabolites
rxn10099,Energy
rxn04782,Xenobiotics
rxn02445,Lipid
rxn03658,Secondary metabolites
EXpd00022,
rxn04445,Terpenoids and polyketides
rxn15852,Secondary metabolites
rxn39449,Amino acid
rxn01375,Nucleotide
rxn19848,Amino acid
rxn12780,Carbohydrate
rxn27927,Carbohydrate
rxn40059,
rxn12009,Xenobiotics
rxn00097,Nucleotide
rxn34089,Xenobiotics
rxn15118,Nucleotide
rxn15045,Carbohydrate
rxn32227,
rxn04547,Terpenoids and polyketides
rxn19645,Nucleotide
rxn27104,Amino acid
rxn10623,Amino acid
rxn02989,Amino acid
rxn30469,
rxn29052,
rxn01368,Nucleotide
rxn09327,Nucleotide
EXpd01133,
rxn16619,Amino acid
rxn15171,
rxn12303,
rxn30254,
rxn33502,Carbohydrate
rxn19140,
rxn21635,
rxn01304,Amino acid
rxn11274,Nucleotide
rxn16144,Xenobiotics
rxn19202,Amino acid
rxn12210,Carbohydrate
rxn00383,Energy
rxn00799,Carbohydrate
EXpd00036,
rxn00276,
rxn36688,Lipid
rxn32831,
