Duration (Hours),A. lactolyticus SM,A. lactolyticus SM,A. lactolyticus SM,L. jensenii SM,L. jensenii SM,L. jensenii SM,C. bergeronii SM,C. bergeronii SM,C. bergeronii SM,A. marseille SM,A. marseille SM,A. marseille SM,E. massiliensis SM,E. massiliensis SM,E. massiliensis SM,A. tetradius SM,A. tetradius SM,A. tetradius SM,V. bacterium SM,V. bacterium SM,V. bacterium SM,P. vaginalis SM,P. vaginalis SM,P. vaginalis SM
4,0.030766667,0.062766667,0.014466667,0.0355,0.0449,0.0241,0.0184,0.0517,0.0065,0.032533333,0.044633333,0.013633333,0.026666667,0.053166667,0.010966667,0.031,0.0466,0.0228,0.0259,0.0304,0.0015,0.037333333,0.048233333,-0.011766667
4.08,0.032633333,0.062533333,0.014133333,0.034,0.0443,0.023,0.019466667,0.052166667,0.005866667,0.0321,0.0432,0.0129,0.028166667,0.054166667,0.011966667,0.032266667,0.046066667,0.022266667,0.026066667,0.030266667,0.001866667,0.038166667,0.046366667,-0.012333333
4.17,0.031266667,0.061966667,0.017166667,0.0357,0.0458,0.0255,0.018933333,0.050933333,0.006033333,0.0325,0.0433,0.0115,0.025566667,0.052566667,0.012166667,0.031866667,0.045866667,0.020866667,0.026933333,0.032433333,0.002833333,0.037233333,0.046633333,-0.011666667
4.25,0.032266667,0.062666667,0.019066667,0.0357,0.0458,0.0263,0.017333333,0.051733333,0.005533333,0.028766667,0.041166667,0.011166667,0.025633333,0.052533333,0.014233333,0.033366667,0.046966667,0.023766667,0.026533333,0.033133333,0.003233333,0.035566667,0.047966667,-0.010633333
4.33,0.0312,0.062,0.0183,0.034266667,0.045566667,0.024366667,0.017533333,0.052833333,0.006933333,0.029666667,0.042466667,0.012866667,0.025966667,0.052266667,0.010366667,0.0323,0.0484,0.0243,0.025166667,0.031666667,0.002366667,0.035233333,0.047333333,-0.011666667
4.42,0.032266667,0.060266667,0.017466667,0.034433333,0.045533333,0.023033333,0.018133333,0.053933333,0.008933333,0.0301,0.0437,0.0143,0.028,0.0531,0.0117,0.031566667,0.048466667,0.025466667,0.025366667,0.032866667,0.002166667,0.0345,0.0466,-0.0124
4.5,0.034333333,0.061833333,0.017733333,0.034733333,0.044833333,0.021733333,0.017933333,0.054533333,0.011433333,0.031866667,0.044166667,0.015466667,0.027133333,0.052133333,0.009933333,0.0311,0.0482,0.0267,0.024533333,0.032533333,0.002633333,0.0363,0.0466,-0.0113
4.58,0.0345,0.0612,0.016,0.034466667,0.045166667,0.022066667,0.018966667,0.054966667,0.011866667,0.0319,0.0428,0.0153,0.0257,0.0527,0.0122,0.031766667,0.048666667,0.026266667,0.0233,0.0318,0.0015,0.0369,0.0462,-0.013
4.67,0.033266667,0.062766667,0.016366667,0.035033333,0.044733333,0.020833333,0.0159,0.0517,0.0121,0.0333,0.0426,0.015,0.025133333,0.053333333,0.009833333,0.031566667,0.048966667,0.025666667,0.023133333,0.032533333,0.002333333,0.037033333,0.046533333,-0.011866667
4.75,0.032133333,0.063833333,0.015133333,0.0331,0.0456,0.0209,0.019233333,0.053533333,0.012333333,0.032333333,0.043333333,0.014533333,0.025133333,0.053333333,0.007833333,0.031533333,0.046933333,0.024333333,0.0231,0.0319,0.0017,0.037566667,0.046866667,-0.013833333
4.83,0.031966667,0.061766667,0.013066667,0.0336,0.0454,0.0196,0.017,0.0516,0.0132,0.032033333,0.043033333,0.014933333,0.024,0.0528,0.0082,0.032333333,0.047533333,0.023333333,0.0234,0.0321,0.0018,0.0377,0.0469,-0.0128
4.92,0.032266667,0.062166667,0.015066667,0.0353,0.0431,0.0206,0.0163,0.052,0.0132,0.030566667,0.042466667,0.015166667,0.023633333,0.052333333,0.006733333,0.032566667,0.047766667,0.023566667,0.023966667,0.031566667,0.002566667,0.0385,0.0459,-0.0126
5,0.0334,0.0632,0.0158,0.032966667,0.044466667,0.022466667,0.0177,0.0518,0.0121,0.0301,0.0425,0.0121,0.023633333,0.052933333,0.007633333,0.034066667,0.047766667,0.024266667,0.022066667,0.029966667,0.000366667,0.0386,0.044,-0.0148
5.08,0.033733333,0.063933333,0.015633333,0.033033333,0.044333333,0.020833333,0.0169,0.0517,0.0118,0.0272,0.0395,0.011,0.025166667,0.052266667,0.005766667,0.034733333,0.046333333,0.025133333,0.023666667,0.030966667,0.001466667,0.0401,0.0444,-0.0143
5.17,0.033966667,0.063166667,0.015366667,0.0341,0.0435,0.0216,0.017666667,0.049566667,0.009966667,0.0275,0.0403,0.0119,0.026833333,0.054933333,0.009033333,0.033566667,0.046466667,0.025266667,0.0246,0.0319,0.0007,0.040433333,0.045833333,-0.013466667
5.25,0.029766667,0.062066667,0.014966667,0.032366667,0.042866667,0.022766667,0.017266667,0.049066667,0.009266667,0.028333333,0.039333333,0.011433333,0.027733333,0.056733333,0.011233333,0.0349,0.0478,0.0234,0.025233333,0.032633333,0.000133333,0.0384,0.0463,-0.0129
5.33,0.032533333,0.063433333,0.016933333,0.032233333,0.044633333,0.023733333,0.017166667,0.048866667,0.006366667,0.028066667,0.040766667,0.012666667,0.028766667,0.055866667,0.012166667,0.0348,0.0487,0.0237,0.024566667,0.032566667,0.001866667,0.037366667,0.047066667,-0.011233333
5.42,0.032266667,0.063466667,0.015866667,0.035033333,0.045233333,0.022833333,0.017466667,0.047666667,0.005566667,0.0282,0.0412,0.0121,0.028466667,0.056566667,0.012266667,0.035033333,0.046133333,0.023833333,0.024833333,0.032433333,0.002333333,0.038333333,0.048133333,-0.011866667
5.5,0.0348,0.0649,0.0174,0.034533333,0.044633333,0.021333333,0.0166,0.0484,0.0059,0.029233333,0.042833333,0.011733333,0.028533333,0.055133333,0.013633333,0.035266667,0.047366667,0.024766667,0.0236,0.0325,0.0044,0.035633333,0.047333333,-0.010966667
5.58,0.031633333,0.063133333,0.017133333,0.0323,0.0416,0.0213,0.017866667,0.049966667,0.005666667,0.029433333,0.043433333,0.012933333,0.026766667,0.053366667,0.012166667,0.035666667,0.047866667,0.022966667,0.024066667,0.033466667,0.004266667,0.035566667,0.046366667,-0.011833333
5.67,0.032933333,0.062133333,0.015733333,0.032133333,0.041133333,0.020333333,0.014533333,0.049033333,0.005333333,0.029933333,0.042733333,0.012133333,0.027066667,0.053866667,0.009166667,0.035333333,0.048833333,0.021533333,0.024433333,0.034433333,0.004633333,0.035433333,0.046833333,-0.011866667
5.75,0.035,0.0619,0.0155,0.035733333,0.043233333,0.021933333,0.015833333,0.050633333,0.005333333,0.029533333,0.040933333,0.011633333,0.0274,0.0544,0.0097,0.034,0.0497,0.0234,0.025433333,0.034933333,0.003733333,0.033533333,0.048033333,-0.012066667
5.83,0.033066667,0.061666667,0.013466667,0.0347,0.0433,0.0229,0.015833333,0.048533333,0.003833333,0.031,0.0412,0.0114,0.026933333,0.053533333,0.008233333,0.035233333,0.051433333,0.024833333,0.024433333,0.034333333,0.001933333,0.034966667,0.048066667,-0.011733333
5.92,0.032866667,0.062366667,0.015666667,0.034766667,0.043566667,0.023966667,0.015166667,0.048366667,0.005866667,0.030733333,0.041833333,0.010333333,0.026066667,0.053166667,0.009366667,0.0347,0.0499,0.0253,0.0239,0.0329,0.002,0.0357,0.0485,-0.0108
6,0.029733333,0.062233333,0.013733333,0.035266667,0.044166667,0.025266667,0.016533333,0.050533333,0.006433333,0.028833333,0.041533333,0.010633333,0.028966667,0.054066667,0.008866667,0.034966667,0.048266667,0.024266667,0.023466667,0.033666667,0.002766667,0.036033333,0.048133333,-0.011066667
6.08,0.0311,0.0622,0.0142,0.039333333,0.046333333,0.025833333,0.014433333,0.051833333,0.007633333,0.030333333,0.042333333,0.012133333,0.030533333,0.054033333,0.008833333,0.034366667,0.047866667,0.023866667,0.024166667,0.032966667,0.003266667,0.0348,0.048,-0.011
6.17,0.029566667,0.062366667,0.014566667,0.0375,0.0474,0.0267,0.013833333,0.051933333,0.005733333,0.031733333,0.042633333,0.013933333,0.0289,0.0535,0.0104,0.033866667,0.044666667,0.024366667,0.024666667,0.033866667,0.003766667,0.0365,0.0494,-0.0096
6.25,0.031033333,0.062333333,0.015933333,0.034833333,0.045533333,0.024733333,0.013766667,0.051566667,0.005166667,0.0309,0.043,0.0144,0.026766667,0.054966667,0.013266667,0.034866667,0.044966667,0.026766667,0.0255,0.0343,0.0029,0.036733333,0.050033333,-0.011666667
6.33,0.031166667,0.061266667,0.015266667,0.033366667,0.043966667,0.024766667,0.016133333,0.053033333,0.007733333,0.030466667,0.043966667,0.015466667,0.0262,0.0555,0.014,0.034266667,0.046166667,0.026666667,0.027066667,0.034666667,0.003066667,0.037466667,0.049066667,-0.011333333
6.42,0.031833333,0.061733333,0.017233333,0.034833333,0.044533333,0.025233333,0.016233333,0.054133333,0.005433333,0.0308,0.0447,0.0139,0.022766667,0.054566667,0.011066667,0.0345,0.0468,0.0281,0.024366667,0.034766667,0.001066667,0.035633333,0.049333333,-0.011366667
6.5,0.030833333,0.062233333,0.016233333,0.0337,0.046,0.0234,0.0186,0.0563,0.0088,0.029566667,0.044866667,0.014166667,0.022766667,0.055666667,0.010466667,0.0342,0.0471,0.0282,0.025433333,0.034533333,0.000133333,0.036366667,0.048466667,-0.013233333
6.58,0.030933333,0.058833333,0.017233333,0.034,0.0463,0.023,0.019,0.0544,0.0074,0.028966667,0.044066667,0.014066667,0.0228,0.0556,0.0106,0.031033333,0.046133333,0.025133333,0.0262,0.0345,-0.0005,0.038033333,0.048833333,-0.012066667
6.67,0.0303,0.0602,0.0153,0.0345,0.0467,0.0238,0.018966667,0.050366667,0.007966667,0.0307,0.043,0.0139,0.0232,0.0572,0.0115,0.030333333,0.046633333,0.024933333,0.025133333,0.033633333,-0.000266667,0.037266667,0.048866667,-0.012633333
6.75,0.028766667,0.060566667,0.016766667,0.035266667,0.047366667,0.023866667,0.019233333,0.050433333,0.007533333,0.030733333,0.043533333,0.011933333,0.0227,0.0572,0.0142,0.0295,0.0469,0.0268,0.0258,0.0337,0.0004,0.038233333,0.049333333,-0.012066667
