Component 1,Component 2,Label,Species,Classification
2961.993218,2364.449386,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3693.7336,1896.72903,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3515.279806,318.0407248,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3315.345349,1883.775861,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
1721.006494,441.289008,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3089.334843,2321.831678,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2903.602244,227.1153932,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3980.963343,1213.720118,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3864.74069,1044.766067,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3052.233001,296.530921,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3074.221706,-261.9020855,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3976.135866,1027.641114,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3201.960537,907.385189,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3598.086305,1895.894863,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3070.761274,309.0928068,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3943.709081,187.8947154,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2782.669323,1105.088188,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2463.715444,1051.251228,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
4237.937776,575.8997892,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
4042.018126,913.9648816,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3951.548163,-568.1089959,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
1639.837954,2589.632217,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2408.126193,2502.409549,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3475.589474,1827.826094,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2594.599026,-111.7715958,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3016.865703,-2646.915755,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3170.517825,-1519.276878,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2984.791884,-858.0440539,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2573.63041,-2591.420594,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3329.114048,-1166.271481,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2145.425334,703.8160434,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1056.29655,-1071.480027,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
4050.698494,-1591.672399,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3581.680021,-1772.288231,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3910.43802,-1769.774866,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2748.223784,-1526.34875,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2783.811084,-138.2018538,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3915.645204,-1557.963426,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
831.7745878,-658.5543381,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2876.341708,-1020.037647,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3303.73825,-1217.52613,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1853.840488,-1767.790764,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2762.582421,-1984.813301,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
998.093195,-648.2585237,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3768.676521,-1553.870048,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2574.406068,-1998.147574,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3462.802689,667.472923,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
223.4735586,-568.7942602,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3690.267666,-1704.483305,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1287.141458,-732.9353127,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1294.367431,-289.7466431,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2500.087015,-915.7553129,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2311.171323,-1255.924282,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1994.735189,-464.7692321,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2065.286604,-1160.24611,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2855.024588,-612.8901152,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
607.3287735,-340.4998664,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2109.483854,-1456.329247,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3274.746962,-1789.4672,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3347.039571,-40.41452065,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3403.550157,-1208.580472,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2723.011503,-504.130395,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2292.299979,-1540.225074,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
-164.9111708,-74.40267419,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1824.986348,-975.6195084,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2630.05838,-415.1784349,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3560.615779,-845.1609259,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1685.701348,-771.2088819,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2557.743227,-1381.758895,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3016.30451,-2034.979114,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3050.017684,-733.3142463,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2382.94902,-1306.420765,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3311.088218,-160.4795003,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
3653.312623,-1439.415749,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
2546.826012,-2226.486495,568703.30.sbml.csv,Lacticaseibacillus rhamnosus GG,Lactobacillaceae
1141.738241,3066.311607,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
1229.781151,2695.116274,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
496.4733103,3038.170269,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
721.9946132,3294.583247,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-735.6127977,2056.190623,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
787.7924285,2901.279662,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-132.2965122,2122.290919,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
770.734875,2807.816214,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
1080.870445,1631.154118,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
1301.781099,3392.203738,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
482.6311755,2998.591994,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
551.6924989,2731.029889,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-104.9160895,2313.821757,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
533.4464411,2984.049633,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
665.8662866,2861.512352,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
390.7019276,3196.279059,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
492.7773433,2821.016678,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
779.1116278,3526.906908,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
290.1616749,1284.569652,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-150.8266554,2917.157828,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
398.1912929,2611.212841,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
1058.837673,3705.151127,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
378.8817433,2839.320378,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
935.0805484,2437.306681,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-469.243481,2057.588244,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
487.5038723,2333.005481,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-1399.563748,2163.690422,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
830.4687644,3166.916432,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
65.76732982,2860.044583,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
442.1271947,3110.277075,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-864.1189478,2525.066924,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-503.4318781,2045.576968,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
630.3183963,2929.352015,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-1110.374149,1812.280154,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
1286.185584,3346.073823,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
515.3845651,3060.034486,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
242.9064284,2297.057635,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
