Duration (Hours),PGY (Modified) Media,PGY (Modified) Media,PGY (Modified) Media,A. christensenii SM,A. christensenii SM,A. christensenii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. tetradius SM,A. tetradius SM,A. tetradius SM,E. massiliensis SM,E. massiliensis SM,E. massiliensis SM,C. bergeronii SM,C. bergeronii SM,C. bergeronii SM,A. marseille SM,A. marseille SM,A. marseille SM,L. jensenii SM,L. jensenii SM,L. jensenii SM,A. lactolyticus SM,A. lactolyticus SM,A. lactolyticus SM,P. vaginalis SM,P. vaginalis SM,P. vaginalis SM,V. bacterium SM,V. bacterium SM,V. bacterium SM,M. curtisii SM,M. curtisii SM,M. curtisii SM
2.83,0.102366667,0.084066667,0.038766667,0.063233333,0.086933333,0.041633333,0.0538,0.0574,0.0329,0.040833333,0.053133333,0.020833333,0.1059,0.1163,0.0896,0.050233333,0.049033333,0.011433333,0.087033333,0.097433333,0.062333333,0.037933333,0.043633333,0.004533333,0.0667,0.0704,0.0466,0.0936,0.1107,0.0529,0.090666667,0.093866667,0.074266667,0.0819,0.0906,0.0663
2.92,0.105533333,0.087533333,0.042933333,0.067633333,0.089733333,0.043933333,0.052033333,0.057833333,0.031933333,0.042266667,0.054666667,0.020366667,0.111333333,0.120433333,0.092333333,0.053066667,0.053066667,0.015066667,0.088533333,0.099133333,0.065633333,0.039666667,0.045766667,0.007166667,0.066633333,0.070833333,0.048133333,0.0978,0.1131,0.0566,0.094966667,0.097866667,0.076966667,0.086666667,0.093166667,0.068866667
3,0.105966667,0.088566667,0.042666667,0.071166667,0.092566667,0.049666667,0.0526,0.059,0.0333,0.0444,0.0578,0.0228,0.118,0.1273,0.1001,0.056433333,0.054733333,0.017633333,0.092533333,0.104333333,0.071133333,0.039066667,0.043166667,0.004866667,0.0683,0.0709,0.0478,0.1016,0.118,0.0633,0.098533333,0.101533333,0.079833333,0.089233333,0.094933333,0.070933333
3.08,0.1083,0.0885,0.0432,0.074533333,0.095733333,0.054233333,0.0545,0.0613,0.0345,0.0442,0.0566,0.0219,0.123666667,0.134466667,0.106566667,0.059966667,0.059566667,0.021766667,0.094833333,0.105533333,0.074133333,0.038433333,0.043533333,0.005033333,0.069533333,0.072433333,0.048633333,0.105466667,0.121166667,0.065466667,0.101466667,0.104866667,0.083966667,0.094,0.099,0.0729
3.17,0.110766667,0.093466667,0.047766667,0.0789,0.0995,0.0563,0.0541,0.06,0.034,0.0453,0.0567,0.0205,0.130333333,0.140633333,0.112633333,0.063,0.0622,0.0248,0.100466667,0.109466667,0.078566667,0.037233333,0.042533333,0.005433333,0.070533333,0.073433333,0.047933333,0.1128,0.1277,0.073,0.1074,0.1086,0.0894,0.097733333,0.103933333,0.077833333
3.25,0.113,0.0949,0.0511,0.083466667,0.103366667,0.058766667,0.053966667,0.060766667,0.035566667,0.046366667,0.057866667,0.022166667,0.137333333,0.147933333,0.119933333,0.0674,0.066,0.0277,0.106533333,0.113033333,0.082133333,0.039066667,0.043366667,0.006366667,0.0721,0.074,0.05,0.114233333,0.131833333,0.077133333,0.111833333,0.111733333,0.094733333,0.101033333,0.107733333,0.080933333
3.33,0.114333333,0.097733333,0.055833333,0.086266667,0.105366667,0.062266667,0.0543,0.0624,0.0368,0.0452,0.0584,0.0247,0.142666667,0.154166667,0.127066667,0.070133333,0.068233333,0.030933333,0.111833333,0.117633333,0.085433333,0.0388,0.0443,0.0042,0.073,0.0735,0.0516,0.119766667,0.136566667,0.081566667,0.117566667,0.117666667,0.100766667,0.101866667,0.110066667,0.085666667
3.42,0.119166667,0.102366667,0.058966667,0.089833333,0.109533333,0.063533333,0.055833333,0.061333333,0.037933333,0.047033333,0.059533333,0.025933333,0.1492,0.1583,0.1335,0.0739,0.0736,0.036,0.118433333,0.123833333,0.092333333,0.038733333,0.044333333,0.003233333,0.073266667,0.074966667,0.052066667,0.1254,0.1427,0.0897,0.122766667,0.124066667,0.106666667,0.103766667,0.113566667,0.088366667
3.5,0.1205,0.105,0.0609,0.093833333,0.111333333,0.066433333,0.057633333,0.063733333,0.037033333,0.048533333,0.060533333,0.027733333,0.1568,0.1648,0.1408,0.077666667,0.077866667,0.040166667,0.121,0.1263,0.095,0.0388,0.0439,0.0043,0.073533333,0.073633333,0.052033333,0.1303,0.1467,0.0949,0.127566667,0.130266667,0.111866667,0.1071,0.1175,0.0923
3.58,0.1244,0.1107,0.0654,0.097133333,0.115233333,0.071233333,0.059266667,0.064066667,0.039066667,0.049133333,0.061933333,0.028233333,0.1624,0.1707,0.1473,0.082833333,0.082533333,0.044633333,0.125933333,0.131533333,0.099933333,0.038866667,0.043466667,0.004966667,0.073533333,0.073633333,0.051533333,0.135166667,0.151266667,0.101766667,0.1317,0.1337,0.1158,0.113233333,0.123133333,0.099833333
3.67,0.1267,0.1124,0.0673,0.100533333,0.118533333,0.074833333,0.058333333,0.065633333,0.039433333,0.051033333,0.062533333,0.030433333,0.169233333,0.176533333,0.152933333,0.0861,0.0862,0.0485,0.132133333,0.138833333,0.106433333,0.039566667,0.043466667,0.005966667,0.072833333,0.074333333,0.052133333,0.1396,0.1545,0.1069,0.1399,0.1405,0.1223,0.114566667,0.126466667,0.104466667
3.75,0.133666667,0.119366667,0.074766667,0.106366667,0.124166667,0.080966667,0.059833333,0.067133333,0.038933333,0.052466667,0.063966667,0.029366667,0.1766,0.1847,0.1592,0.091233333,0.090933333,0.053533333,0.1367,0.1425,0.1108,0.039566667,0.043466667,0.004766667,0.0728,0.0744,0.0533,0.146033333,0.159633333,0.112533333,0.1455,0.1456,0.1275,0.120066667,0.130666667,0.109566667
3.83,0.136466667,0.122066667,0.079366667,0.110866667,0.128766667,0.086966667,0.061333333,0.066033333,0.041033333,0.051466667,0.063066667,0.028766667,0.1823,0.1901,0.1652,0.096233333,0.094733333,0.058433333,0.141766667,0.147766667,0.117466667,0.040066667,0.044666667,0.004266667,0.0746,0.0756,0.052,0.151233333,0.164833333,0.117233333,0.151866667,0.152666667,0.134366667,0.1246,0.1363,0.1145
3.92,0.143066667,0.128466667,0.086866667,0.115266667,0.132966667,0.090366667,0.0608,0.0681,0.0407,0.0514,0.0637,0.0273,0.187733333,0.196333333,0.171833333,0.101433333,0.099933333,0.063933333,0.149333333,0.154833333,0.124933333,0.039733333,0.044333333,0.003033333,0.074033333,0.074633333,0.052533333,0.1568,0.1715,0.1244,0.1566,0.1584,0.1393,0.130366667,0.140566667,0.120266667
4,0.1473,0.1347,0.0934,0.119233333,0.136833333,0.095433333,0.061066667,0.069666667,0.039866667,0.052766667,0.065366667,0.029166667,0.194866667,0.203066667,0.178566667,0.103933333,0.103833333,0.065733333,0.155066667,0.160766667,0.131966667,0.037433333,0.043233333,0.003333333,0.0725,0.0751,0.0525,0.1605,0.1757,0.1288,0.165366667,0.167166667,0.147566667,0.135133333,0.146433333,0.125833333
4.08,0.153933333,0.141633333,0.100733333,0.122466667,0.140966667,0.100166667,0.059833333,0.069733333,0.041033333,0.0517,0.0662,0.0308,0.203466667,0.209766667,0.187066667,0.1074,0.107,0.0705,0.161166667,0.166266667,0.137966667,0.040666667,0.046666667,0.007566667,0.074033333,0.075633333,0.053933333,0.165533333,0.180333333,0.130333333,0.1738,0.1759,0.1563,0.139933333,0.149233333,0.128133333
4.17,0.160066667,0.148566667,0.107366667,0.1262,0.1429,0.1027,0.060233333,0.070633333,0.040433333,0.052433333,0.066033333,0.031433333,0.208733333,0.216633333,0.191733333,0.110066667,0.110566667,0.076766667,0.1665,0.1721,0.1446,0.041366667,0.045266667,0.006266667,0.0728,0.0768,0.052,0.171733333,0.184733333,0.133433333,0.181933333,0.184133333,0.161933333,0.147966667,0.156866667,0.134866667
4.25,0.167366667,0.155066667,0.113866667,0.130233333,0.146533333,0.108433333,0.0593,0.0698,0.0412,0.0554,0.0683,0.0348,0.215833333,0.225933333,0.200533333,0.115366667,0.117366667,0.082466667,0.173,0.1774,0.1514,0.041566667,0.043866667,0.005166667,0.073,0.0763,0.0511,0.1776,0.1913,0.1419,0.188633333,0.191733333,0.170633333,0.156566667,0.163266667,0.142666667
4.33,0.172066667,0.161166667,0.119466667,0.1344,0.1511,0.1126,0.061033333,0.071033333,0.040833333,0.0538,0.0677,0.035,0.223733333,0.233333333,0.208933333,0.120433333,0.121933333,0.087433333,0.1789,0.1837,0.1571,0.0408,0.0451,0.0063,0.0719,0.0761,0.0505,0.182633333,0.196133333,0.148633333,0.1948,0.1991,0.1793,0.165266667,0.169966667,0.150066667
4.42,0.178866667,0.166866667,0.127466667,0.138866667,0.155766667,0.117166667,0.062633333,0.071433333,0.042733333,0.052466667,0.069666667,0.034066667,0.2314,0.2401,0.217,0.127666667,0.127966667,0.092866667,0.183533333,0.189433333,0.164533333,0.0407,0.046,0.0074,0.072533333,0.075733333,0.050133333,0.188066667,0.200266667,0.150966667,0.203233333,0.206833333,0.188233333,0.171433333,0.177533333,0.157933333
4.5,0.185233333,0.173833333,0.134733333,0.144433333,0.159733333,0.121333333,0.062633333,0.072333333,0.043933333,0.0549,0.0706,0.0363,0.24,0.2482,0.2266,0.1345,0.1332,0.0975,0.1878,0.195,0.1701,0.0432,0.049,0.01,0.073466667,0.075666667,0.051466667,0.193866667,0.205666667,0.157466667,0.213433333,0.217633333,0.198433333,0.179566667,0.185466667,0.164766667
4.58,0.1926,0.1792,0.1399,0.1487,0.1642,0.1267,0.064133333,0.073633333,0.045433333,0.055,0.0692,0.0358,0.246033333,0.254933333,0.231933333,0.140166667,0.140466667,0.105366667,0.192466667,0.198966667,0.175666667,0.0396,0.0484,0.0065,0.070866667,0.076466667,0.051266667,0.1988,0.211,0.1622,0.221366667,0.225766667,0.208266667,0.185666667,0.192566667,0.172666667
4.67,0.1999,0.185,0.1467,0.151333333,0.167833333,0.130433333,0.065,0.0746,0.0478,0.055033333,0.068633333,0.035333333,0.2528,0.2619,0.2395,0.147066667,0.147466667,0.110666667,0.1974,0.2031,0.1806,0.042466667,0.049966667,0.008866667,0.070566667,0.076366667,0.049966667,0.202866667,0.216166667,0.165066667,0.228033333,0.232833333,0.216233333,0.193633333,0.201833333,0.183033333
4.75,0.207633333,0.193633333,0.154533333,0.155566667,0.170966667,0.132666667,0.066833333,0.076533333,0.049033333,0.050666667,0.067166667,0.033366667,0.258,0.2677,0.244,0.154033333,0.154133333,0.117633333,0.2048,0.2099,0.1863,0.0427,0.0493,0.009,0.069333333,0.076433333,0.049333333,0.209433333,0.221333333,0.173033333,0.234266667,0.239966667,0.224266667,0.202033333,0.210733333,0.191833333
