,Component 1,Component 2,Label,Classification
3939,-2624.596374743573,242.30541276982797,227945.7.sbml.csv,Commensal
3940,-2747.4405740762813,996.9456269415275,227945.7.sbml.csv,Commensal
3941,-1485.0221334124303,-1577.4390617056713,227945.7.sbml.csv,Commensal
3942,-1451.831258547207,-1617.0652383321558,227945.7.sbml.csv,Commensal
3943,-3028.391303040892,1511.451643794124,227945.7.sbml.csv,Commensal
3944,-1272.5908845985284,-2118.3687599357245,227945.7.sbml.csv,Commensal
3945,-3505.2251807003126,1046.7296271916014,227945.7.sbml.csv,Commensal
3946,-2459.5627921712053,154.02233777354076,227945.7.sbml.csv,Commensal
3947,-1521.4546724523866,-1221.347051323064,227945.7.sbml.csv,Commensal
3948,-3016.8332648340156,1000.9259477042825,227945.7.sbml.csv,Commensal
3949,-923.4164670852739,-1025.494341207237,227945.7.sbml.csv,Commensal
3950,307.73338431754013,-418.31118556891414,1750.7.sbml.csv,Commensal
3951,569.0445733711725,-1541.9860107981622,1750.7.sbml.csv,Commensal
3952,836.4831987886117,-2359.2702244976126,1750.7.sbml.csv,Commensal
3953,-1635.5263208146225,785.467893293145,1750.7.sbml.csv,Commensal
3954,-2.1181604406625825,-271.50819572824014,1750.7.sbml.csv,Commensal
3955,-1082.1488069424704,-699.1470701844073,1750.7.sbml.csv,Commensal
3956,-1025.6262877319452,-560.2458400306779,1750.7.sbml.csv,Commensal
3957,495.71816309588417,-2110.4896690252526,1750.7.sbml.csv,Commensal
3958,-535.4807348963266,-107.09086833585842,1750.7.sbml.csv,Commensal
3959,446.9979523328583,-1506.214838672641,1750.7.sbml.csv,Commensal
3960,-486.28909519994903,-491.751890997897,1750.7.sbml.csv,Commensal
3961,169.26247802046547,-1531.8812178786868,1750.7.sbml.csv,Commensal
3962,-2202.9756307924376,1812.2173152212642,1750.7.sbml.csv,Commensal
3963,-804.0848023114462,-423.77720375021755,1750.7.sbml.csv,Commensal
3964,-176.1615043971534,-475.6947048751135,1750.7.sbml.csv,Commensal
3965,-2215.2753198848973,1940.1955217167852,1750.7.sbml.csv,Commensal
